DDL,n
5,1714
7,117
3,113
8,90
2,75
4,60
9,58
1,56
12,54
15,49
0,48
6,47
10,43
-1,24
18,24
-2,22
13,17
11,14
16,14
-3,13
17,12
14,9
21,9
20,8
-4,6
-5,3
27,3
28,3
35,3
47,3
-6,2
106,2
120,2
19,2
22,2
23,2
24,2
25,2
29,2
30,2
50,2
80,2
85,2
