DDL,n
5,1403
7,196
3,174
8,143
4,128
2,107
12,98
9,97
6,93
10,92
1,88
15,76
0,64
11,44
18,36
-1,32
13,29
-2,28
14,27
21,25
16,23
17,23
20,18
-3,16
-4,15
24,15
25,12
30,11
19,10
27,7
22,6
23,5
-5,4
28,4
40,3
50,3
26,2
32,2
36,2
53,2
55,2
56,2
90,2
